item_no,category_name,item_description,vendor,vendor_name,bottle_size,pack,inner_pack,proof,list_date,bottle_price,shelf_price,case_cost
904616,MISC. AMERICAN CORDIALS & LIQUEURS,Travis Hasse Apple Pie,305,Mhw Ltd,750,12,1,40,2009-02-11T00:00:00Z,9.77,14.66,117.22
904617,MISC. IMPORTED CORDIALS & LIQUEURS,D'aristi Xtabentun,391,Anchor Distilling (preiss Imports),750,12,1,60,2009-04-24T00:00:00Z,14.12,21.18,169.4
904626,SINGLE MALT SCOTCH,Arran 10yr,10,A Hardy / U.s.a. Ltd.,750,6,1,92,2009-10-01T00:00:00Z,25.83,38.75,155
904716,SINGLE MALT SCOTCH,Springbank 12y Cream Sherry Cask,391,Anchor Distilling (preiss Imports),750,1,1,112,2009-12-09T00:00:00Z,66,99,66
1864,DECANTERS & SPECIALTY PACKAGES,Stolichnaya With Ice Shot Pack,240,William Grant And Sons Inc.,750,6,1,80,2003-08-01T00:00:00Z,11.19,16.79,67.16
18656,SINGLE BARREL BOURBON WHISKIES,Henry McKenna Single Barrel 100proof,259,Heaven Hill Distilleries Inc.,750,6,1,100,2012-08-06T00:00:00Z,16.67,25.01,100
18660,SINGLE BARREL BOURBON WHISKIES,Hudson Baby Bourbon,240,William Grant And Sons Inc.,375,12,1,92,2012-07-23T00:00:00Z,21.25,31.88,255
18662,STRAIGHT BOURBON WHISKIES,Hudson Four Grain,240,William Grant And Sons Inc.,375,12,1,92,2012-07-23T00:00:00Z,24.17,36.26,290
1868,DECANTERS & SPECIALTY PACKAGES,Three Olives With Mini's Gift,395,Proximo,750,6,1,80,2003-08-01T00:00:00Z,10.4,15.6,62.4
1870,DECANTERS & SPECIALTY PACKAGES,Martini's Cosmo Martini W/shaker Gift,298,White Rock Distilleries Inc.,750,6,1,48,2003-08-01T00:00:00Z,7.67,11.51,46
1871,DECANTERS & SPECIALTY PACKAGES,Vox Vodka Appletini Kit 03,65,Jim Beam Brands,750,6,1,80,2003-07-01T00:00:00Z,15.99,23.99,95.96
1876,DECANTERS & SPECIALTY PACKAGES,Ketel One W/glasses,260,Diageo Americas,750,6,1,80,2010-07-14T00:00:00Z,12.5,18.75,74.97
18806,STRAIGHT BOURBON WHISKIES,I. W. Harper Gold Medal Bourbon,260,Diageo Americas,750,6,1,80,1996-05-01T00:00:00Z,18.17,27.26,109
1882,DECANTERS & SPECIALTY PACKAGES,Absolut Mini Five Pack,370,Pernod Ricard Usa/austin Nichols,251,28,1,80,2003-08-01T00:00:00Z,4.68,7.02,131
904717,IMPORTED VODKA,Finlandia Wild Berries Vodka,85,Brown-forman Corporation,750,12,1,75,2009-04-21T00:00:00Z,10.55,15.83,126.58
18906,STRAIGHT BOURBON WHISKIES,J.R. Ewing Private Reserve,373,Prairie Creek Beverages Llc,750,6,1,80,2014-10-01T00:00:00Z,16,24,96
1891,IMPORTED VODKA,Absolut Britto,370,Pernod Ricard Usa/austin Nichols,1502,6,1,70,2003-09-01T00:00:00Z,23.41,35.12,140.45
1893,DECANTERS & SPECIALTY PACKAGES,Uv Blue Vodka Party Pack,380,Phillips Beverage Company,1750,3,1,60,2005-09-01T00:00:00Z,9.27,13.91,27.8
18996,STRAIGHT BOURBON WHISKIES,Jacob's Well Ky. Straight Bbn.,65,Jim Beam Brands,750,12,1,84,1997-01-01T00:00:00Z,10.35,15.53,124.19
1900,DECANTERS & SPECIALTY PACKAGES,Giori Butterfly Decanter,969,Aveniu Brands,402,4,1,80,2001-09-01T00:00:00Z,48.93,73.4,195.7
19006,STRAIGHT BOURBON WHISKIES,Jefferson's Reserve,91,Castle Brands,750,6,1,90,2014-07-01T00:00:00Z,26.49,39.74,158.94
19009,STRAIGHT BOURBON WHISKIES,Jefferson's Very Small Batch,91,Castle Brands,750,6,1,82,2014-07-01T00:00:00Z,15.83,23.75,94.98
19012,STRAIGHT BOURBON WHISKIES,Jefferson's Presidential Select 18yr,91,Castle Brands,750,6,1,94,2012-04-12T00:00:00Z,46.77,70.16,280.6
19015,STRAIGHT BOURBON WHISKIES,Jeremiah Weed Blended Bourbon,260,Diageo Americas,750,12,1,90,2010-04-01T00:00:00Z,8.92,13.38,107.03
19019,STRAIGHT BOURBON WHISKIES,Jesse James Bourbon,294,Jesse James Distilling Company,750,12,1,80,2012-06-01T00:00:00Z,9.52,14.28,114.22
904718,IRISH WHISKIES,Finian's Irish Whiskey,287,Chatham Importsinc,750,6,1,80,2010-02-22T00:00:00Z,17.78,26.67,106.7
19026,STRAIGHT BOURBON WHISKIES,Jim Beam Black,65,Jim Beam Brands,750,12,1,86,1997-06-01T00:00:00Z,13.65,20.48,163.8
19028,STRAIGHT BOURBON WHISKIES,Jim Beam Black Ky Str. Bbn.,65,Jim Beam Brands,1750,6,1,90,1997-06-01T00:00:00Z,19.19,28.79,115.16
19030,STRAIGHT BOURBON WHISKIES,Jim Beam Jacob's Ghost Mini,65,Jim Beam Brands,500,12,10,80,2013-03-01T00:00:00Z,4.7,7.05,56.4
19032,STRAIGHT BOURBON WHISKIES,Jim Beam Jacob's Ghost,65,Jim Beam Brands,750,12,1,80,2013-03-01T00:00:00Z,13.65,20.48,163.8
19036,STRAIGHT BOURBON WHISKIES,Jim Beam Signature Craft 12YR,65,Jim Beam Brands,750,6,1,86,2013-11-01T00:00:00Z,20.99,31.49,125.94
19038,STRAIGHT BOURBON WHISKIES,Jim Beam Signature Craft Brandy Finish,65,Jim Beam Brands,750,6,1,86,2013-11-01T00:00:00Z,20.99,31.49,125.94
19061,STRAIGHT BOURBON WHISKIES,Jim Beam Mini,65,Jim Beam Brands,500,12,10,80,1985-11-01T00:00:00Z,6.83,10.25,81.92
19062,STRAIGHT BOURBON WHISKIES,Jim Beam Ky Str Bourbon,65,Jim Beam Brands,100,48,1,80,2006-06-01T00:00:00Z,1.42,2.13,68.22
19063,STRAIGHT BOURBON WHISKIES,Jim Beam,65,Jim Beam Brands,200,48,1,80,1988-04-01T00:00:00Z,3.1,4.65,148.55
19064,STRAIGHT BOURBON WHISKIES,Jim Beam,65,Jim Beam Brands,375,24,1,80,1985-05-01T00:00:00Z,4.76,7.14,114.11
904719,RASPBERRY SCHNAPPS,Hiram Walker Raspberry Schnapps,370,Pernod Ricard Usa/austin Nichols,1000,12,1,30,2010-03-25T00:00:00Z,4.5,6.75,53.94
19066,STRAIGHT BOURBON WHISKIES,Jim Beam,65,Jim Beam Brands,750,12,1,80,1985-05-01T00:00:00Z,10.49,15.74,125.88
19067,STRAIGHT BOURBON WHISKIES,Jim Beam,65,Jim Beam Brands,1000,12,1,80,1983-11-01T00:00:00Z,12.08,18.12,144.89
19068,STRAIGHT BOURBON WHISKIES,Jim Beam,65,Jim Beam Brands,1750,6,1,80,1983-09-01T00:00:00Z,19.94,29.91,119.64
19081,DECANTERS & SPECIALTY PACKAGES,Jim Beam Operation Homefront,65,Jim Beam Brands,1750,6,1,80,2014-04-01T00:00:00Z,19.94,29.91,119.64
19082,DECANTERS & SPECIALTY PACKAGES,Jim Beam Operation Homefront,65,Jim Beam Brands,1750,6,1,80,2014-05-01T00:00:00Z,19.94,29.91,119.64
19096,STRAIGHT BOURBON WHISKIES,Jim Beam Traveler,65,Jim Beam Brands,750,12,1,80,1990-10-01T00:00:00Z,10.49,15.74,125.88
19099,STRAIGHT BOURBON WHISKIES,Jim Beam Distillers Series,65,Jim Beam Brands,750,12,1,90,2008-10-01T00:00:00Z,10.57,15.86,126.88
19110,STRAIGHT BOURBON WHISKIES,Jim Beam Devil's Cut Mini,65,Jim Beam Brands,500,12,10,90,2014-10-01T00:00:00Z,3.6,5.4,43.2
19112,STRAIGHT BOURBON WHISKIES,Jim Beam Devil's Cut,65,Jim Beam Brands,750,12,1,90,2011-06-01T00:00:00Z,15.23,22.85,182.69
19116,SINGLE BARREL BOURBON WHISKIES,Jim Beam Single Barrel,65,Jim Beam Brands,750,6,1,95,2014-03-01T00:00:00Z,18.37,27.56,110.22
904720,80 PROOF VODKA,Fuzzy Vodka,305,Mhw Ltd,750,6,1,80,2009-05-15T00:00:00Z,15,22.5,90
1922,DECANTERS & SPECIALTY PACKAGES,Giori Ornaments (two Bells),969,Aveniu Brands,200,2,1,80,2001-09-01T00:00:00Z,49.32,73.98,98.64
19224,STRAIGHT BOURBON WHISKIES,Knob Creek Bourbon,65,Jim Beam Brands,375,12,1,100,2011-06-01T00:00:00Z,10.25,15.38,123.04
19226,STRAIGHT BOURBON WHISKIES,Knob Creek,65,Jim Beam Brands,750,6,1,100,1992-09-01T00:00:00Z,20.47,30.71,122.82
